Symbol ,Series ,LTP ,%chng ,New 52W/H price ,Prev.High ,Prev. High Date 
MCCHRLS-B,EQ,670,0,799,798.7,27-Jul-2026
MEDANTA,EQ,1506.3,3.25,1544,1491,10-Aug-2026
MIDSELIETF,EQ,20.18,0.1,20.38,20.25,26-Aug-2026
MIDSMALL,EQ,52.56,-0.04,52.81,52.77,12-Aug-2026
MIIL,EQ,719,-1.03,742.9,738.45,25-Aug-2026
MILKYMIST,EQ,215.92,-2.79,233.8,222.11,26-Aug-2026
MINALIND,BE,4,4.99,4,3.81,26-Aug-2026
MKEXIM,EQ,63.5,0.19,68.69,65,26-Aug-2026
MOMETAL,EQ,13.46,-1.1,13.74,13.68,26-Aug-2026
MOREPENLAB,EQ,97.31,0.34,99.75,98.28,24-Aug-2026
NICCOPAR,EQ,90.51,1.21,95.25,92,26-Aug-2026
NILKAMAL,EQ,2070.3,-1.26,2118.6,2110,26-Aug-2026
OAL,EQ,426.6,6.32,432.55,413.4,26-Aug-2026
OMAXE,EQ,113.5,3.78,115,112.79,26-Aug-2026
PCCL,SM,381.1,6.35,386,362,26-Aug-2026
PREMIERPOL,EQ,94.49,4.08,95.2,94.14,19-Aug-2026
PRUDENT,EQ,3478.9,4,3499,3455,20-Aug-2026
PVP,EQ,62.12,9.99,62.12,56.48,26-Aug-2026
QMSMEDI,BE,149.5,-2.11,155.5,155.5,24-Aug-2026
RAMBHAJO,EQ,264.2,3.33,279.33,255.84,26-Aug-2026
RAMRAT,EQ,573.95,9.6,575.1,527.2,26-Aug-2026
RATNAVEER,EQ,292.71,4.81,294.7,286,26-Aug-2026
ROSSELLIND,EQ,58.5,-5.29,73,69.5,11-Nov-2025
RPEL,EQ,1748.2,0.66,1765,1749,26-Aug-2026
RSL,EQ,173.52,4.16,174.45,174,25-Aug-2026
RUBICON,EQ,1848.9,1.65,1872,1829,26-Aug-2026
SAILIFE,EQ,1494.4,2.29,1498.1,1485,21-Aug-2026
SETL,EQ,346.9,4.99,346.9,330.45,26-Aug-2026
SHEETAL,SM,333,0.15,352,348.5,25-Aug-2026
SHILPAMED,EQ,888.5,3.22,891,869,25-Aug-2026
SHREEPUSHK,EQ,456.35,0.93,481.5,476,23-Sep-2025
SHRIAHIMSA,ST,480.9,5,480.9,458,26-Aug-2026
SIGMAADV,EQ,763.65,5,763.65,727.3,26-Aug-2026
SILKFLEX,SM,245.05,0.82,255.2,243.05,26-Aug-2026
SOLARINDS,EQ,20514,2.07,20649,20422,18-Aug-2026
SOMANYCERA,EQ,557.25,-0.21,565,564.95,26-Aug-2026
SPELS,EQ,152.23,6,157,154,17-Aug-2026
STLTECH,BE,695.85,4.99,695.85,683.5,13-Aug-2026
SUPTANERY,BE,13.35,4.95,13.35,12.72,26-Aug-2026
TBZ,EQ,305.4,-0.13,312.7,309.2,26-Aug-2026
TECHNOCRAF,EQ,359.89,4.71,373.65,349.6,24-Aug-2026
TFCILTD,EQ,141.25,0.18,146,143.74,26-Aug-2026
TITAN,EQ,5164.1,1.26,5186.7,5168,11-Aug-2026
TUTIALKA,EQ,60.55,2.84,62.7,60.89,26-Aug-2026
UFLEX,EQ,635.05,-2.37,660.5,656.75,26-Aug-2026
VINSYS,ST,605,0.85,610.9,610,26-Aug-2026
VTMLTD,EQ,55.49,3.31,57.8,54.84,26-Aug-2026
WELCORP,EQ,2406,4.3,2437.3,2433.9,25-Aug-2026
YATHARTH,EQ,947.1,-1.89,978,972,26-Aug-2026
