Symbol ,Series ,LTP ,%chng ,New 52W/H price ,Prev.High ,Prev. High Date 
RAMBHAJO,EQ,264.99,3.64,279.33,255.84,26-Aug-2026
RAMRAT,EQ,567.5,8.36,575.1,527.2,26-Aug-2026
RATNAVEER,EQ,289.25,3.57,294.7,286,26-Aug-2026
ROSSELLIND,EQ,58.94,-4.58,73,69.5,11-Nov-2025
RPEL,EQ,1724,-0.73,1765,1749,26-Aug-2026
RUBICON,EQ,1842.7,1.31,1872,1829,26-Aug-2026
SAILIFE,EQ,1483.6,1.55,1495.2,1485,21-Aug-2026
SETL,EQ,346.9,4.99,346.9,330.45,26-Aug-2026
SHEETAL,SM,333,0.15,352,348.5,25-Aug-2026
SHILPAMED,EQ,888.95,3.28,891,869,25-Aug-2026
SHREEPUSHK,EQ,461.05,1.97,481.5,476,23-Sep-2025
SHRIAHIMSA,ST,480.9,5,480.9,458,26-Aug-2026
SIGMAADV,EQ,763.65,5,763.65,727.3,26-Aug-2026
SILKFLEX,SM,250.7,3.15,255.2,243.05,26-Aug-2026
SOLARINDS,EQ,20547,2.24,20649,20422,18-Aug-2026
SOMANYCERA,EQ,556,-0.44,565,564.95,26-Aug-2026
SPELS,EQ,152.44,6.15,157,154,17-Aug-2026
STLTECH,BE,695.8,4.99,695.85,683.5,13-Aug-2026
SUPTANERY,BE,13.35,4.95,13.35,12.72,26-Aug-2026
TBZ,EQ,304.3,-0.49,312.7,309.2,26-Aug-2026
TECHNOCRAF,EQ,365.3,6.29,373.65,349.6,24-Aug-2026
TFCILTD,EQ,141.58,0.42,146,143.74,26-Aug-2026
TITAN,EQ,5178.3,1.54,5186.7,5168,11-Aug-2026
TUTIALKA,EQ,61,3.6,62.7,60.89,26-Aug-2026
UFLEX,EQ,637,-2.07,660.5,656.75,26-Aug-2026
VINSYS,ST,608,1.35,610.9,610,26-Aug-2026
VTMLTD,EQ,56.51,5.21,57.8,54.84,26-Aug-2026
WELCORP,EQ,2413.8,4.64,2437.3,2433.9,25-Aug-2026
YATHARTH,EQ,946.85,-1.91,978,972,26-Aug-2026
