Symbol ,Series ,LTP ,%chng ,New 52W/H price ,Prev.High ,Prev. High Date 
ESAFSFB,BE,44.07,1.78,44.7,44.7,26-Aug-2026
FMGOETZE,EQ,560.2,4.89,578,578,26-Aug-2026
FRESHARA,ST,431,3.94,435,422.9,25-Aug-2026
GAJA,EQ,170.2,-8,191.65,191.65,26-Aug-2026
GATECH,BE,1,4.17,1,1,26-Aug-2026
GIPCL,EQ,199.9,4.81,203.7,203.7,26-Aug-2026
GOKULAGRO,EQ,244,-3.5,259.8,259.8,26-Aug-2026
GROWWLIQID,EQ,110.51,0.01,110.99,110.99,26-Aug-2026
GYFTR,EQ,168.5,4.83,175,175,26-Aug-2026
HAMPTON,EQ,8.2,2.24,9.24,9.24,26-Aug-2026
IDEA,EQ,15.06,-0.86,15.37,15.37,26-Aug-2026
IMPEXFERRO,BZ,4.14,1.97,4.14,4.14,26-Aug-2026
INDSWFTLAB,EQ,363.9,12.18,373.72,373.72,26-Aug-2026
INNOMET,ST,246.05,119.88,246.05,257,26-Sep-2024
INNOMET,ST,246.05,1.99,246.05,0,-
IOLCP,EQ,186.48,8.19,187.63,187.63,26-Aug-2026
IPCALAB,EQ,1954.8,1.36,1992,1992,26-Aug-2026
IPRINGLTD,EQ,150.5,3.79,155.98,155.98,26-Aug-2026
IVZBANKNF,EQ,57.72,0.49,57.72,57.72,26-Aug-2026
IVZSENSEX,EQ,77.54,0.12,78.09,78.09,26-Aug-2026
JAYSREETEA,EQ,101.66,-4.61,112.7,112.7,26-Aug-2026
JINDALSAW,EQ,305,8.25,307.9,307.9,26-Aug-2026
JSWSTEEL,EQ,1341,1.57,1341,1341,26-Aug-2026
JYOTIRES,EQ,892,3.17,911,911,26-Aug-2026
KANCOTEA,EQ,56.35,-0.18,58,58,26-Aug-2026
KARURVYSYA,EQ,354,2.31,358.65,358.65,26-Aug-2026
KENNAMET,EQ,4352,5.32,4369,4369,26-Aug-2026
KRISHANA,EQ,204,1.13,206.13,206.13,26-Aug-2026
KTKBANK,EQ,336.75,0.64,341,341,26-Aug-2026
LADDERUP,EQ,53,8.16,53.95,53.95,26-Aug-2026
LAMOSAIC,ST,59.5,3.75,59.65,58,25-Aug-2026
LANCER,EQ,11.79,3.97,11.99,11.99,26-Aug-2026
LAURUSLABS,EQ,1887,1.11,1898.3,1898.3,26-Aug-2026
LCL,EQ,592,0.85,604.7,604.7,26-Aug-2026
LIQUIDCASE,EQ,115.63,0,115.65,115.65,26-Aug-2026
LIQUIDSHRI,EQ,1118.86,0,1118.88,1118.88,26-Aug-2026
MAHASTEEL,BE,1239,3.07,1239,1239,26-Aug-2026
MANIPALHOS,EQ,800,4.88,801,801,26-Aug-2026
MARC,SM,148,2,148,145.95,25-Aug-2026
MARC,SM,148,2,148,0,-
MAXESTATES,EQ,562,1.07,579,579,26-Aug-2026
MIDSELIETF,EQ,20.19,0.6,20.25,20.25,26-Aug-2026
MILKYMIST,EQ,222.11,10,222.11,222.11,26-Aug-2026
MINALIND,BE,3.81,4.96,3.81,3.81,26-Aug-2026
MKEXIM,EQ,63,1.81,65,65,26-Aug-2026
MODISONLTD,BE,413,-0.45,423.95,423.95,26-Aug-2026
MOLBIO,EQ,1230.1,0.22,1264.6,1264.6,26-Aug-2026
MOMETAL,EQ,13.61,2.18,13.68,13.68,26-Aug-2026
MONOLITH,SM,1091,-0.85,1143,1118.65,25-Aug-2026
MONOLITH,SM,1091,-0.85,1143,0,-
MSTCLTD,EQ,736,1.11,753.5,753.5,26-Aug-2026
NEAGI,EQ,3480,0.67,3500,3500,26-Aug-2026
NICCOPAR,EQ,89.94,5.38,92,92,26-Aug-2026
NILKAMAL,EQ,2099,4.12,2110,2110,26-Aug-2026
NITINSPIN,EQ,625.65,0.32,647.85,647.85,26-Aug-2026
OAL,EQ,410,17.36,413.4,413.4,26-Aug-2026
OFSS,EQ,11800,0.61,12060,12060,26-Aug-2026
OMAXE,EQ,110,10.41,112.79,112.79,26-Aug-2026
ONDOOR,SM,298,-0.4,317,315,25-Aug-2026
ONDOOR,SM,298,-0.4,317,0,-
OPTIFIN,EQ,13.22,-4.82,14.78,14.78,26-Aug-2026
ORIRAIL,EQ,131.03,-0.59,142,142,26-Aug-2026
PAYTM,EQ,1716,-0.12,1732.3,1732.3,26-Aug-2026
PCCL,SM,360,2.86,362,354,21-Aug-2026
PCCL,SM,360,2.86,362,0,-
PIRAMALFIN,EQ,2214,1.5,2252.2,2252.2,26-Aug-2026
PITTIENG,EQ,1114.55,-0.78,1168,1168,26-Aug-2026
PNBHOUSING,EQ,1185,0.25,1211.5,1211.5,26-Aug-2026
PRAMODINI,ST,121.5,-0.94,125.95,125.55,19-Aug-2026
PRIMECAB,ST,215,0.8,222,214.95,25-Aug-2026
PVP,EQ,56.48,9.99,56.48,56.48,26-Aug-2026
QUESS,EQ,370.5,6.77,376.5,376.5,26-Aug-2026
RAMBHAJO,EQ,255.84,20,255.84,255.84,26-Aug-2026
RAMRAT,EQ,524.1,7.06,527.2,527.2,26-Aug-2026
RAPIDFLEET,SM,232,0.39,244.9,241.9,25-Aug-2026
RATNAVEER,EQ,280,6.29,286,286,26-Aug-2026
RGL,EQ,151.3,13.87,159,159,26-Aug-2026
ROLLT,BE,4.01,0,4.21,4.21,26-Aug-2026
RPEL,EQ,1720,7.29,1749,1749,26-Aug-2026
RRECL,EQ,151,8.63,151.99,151.99,26-Aug-2026
RUBICON,EQ,1808,5.81,1829,1829,26-Aug-2026
SAYAJIHOTL,EQ,335,4.61,348,348,26-Aug-2026
SERVICE,SM,68.5,4.58,68.7,65.9,25-Aug-2026
SETL,EQ,330.45,4.99,330.45,330.45,26-Aug-2026
SGMART,EQ,844,0.79,860.6,860.6,26-Aug-2026
SHRIAHIMSA,ST,458,1.09,458,457.5,25-Aug-2026
SHUKRAPHAR,EQ,44.1,0.05,46.16,46.16,26-Aug-2026
SIGMAADV,EQ,727.3,4.99,727.3,727.3,26-Aug-2026
SILKFLEX,SM,243.05,4.99,243.05,232.5,24-Jun-2026
SILKFLEX,SM,243.05,4.99,243.05,0,-
SILVER001,EQ,24.47,1.07,28,28,26-Aug-2026
SKYGOLD,EQ,847,0.56,868.8,868.8,26-Aug-2026
SOMANYCERA,EQ,559,3.64,564.95,564.95,26-Aug-2026
SREEL,EQ,261.29,1.43,270,270,26-Aug-2026
SUPTANERY,BE,12.72,9.94,12.72,12.72,26-Aug-2026
SURAKSHA,EQ,338.55,6.51,340.5,340.5,26-Aug-2026
TAURIAN,SM,520,1.96,544.8,530.4,25-Aug-2026
TAURIAN,SM,520,1.96,544.8,0,-
TBZ,EQ,304.55,8.63,309.2,309.2,26-Aug-2026
TFCILTD,EQ,142.13,3.73,143.74,143.74,26-Aug-2026
TIMEX,EQ,629.45,1.91,647.8,647.8,26-Aug-2026
TRANSCOR,EQ,25,5.31,26.48,26.48,26-Aug-2026
TUTIALKA,EQ,58.3,6.82,60.89,60.89,26-Aug-2026
TVSMOTOR,EQ,4464,1,4484.5,4484.5,26-Aug-2026
TVSSRICHAK,EQ,5327.9,10.72,5359.3,5359.3,26-Aug-2026
UFLEX,EQ,653.5,7.78,656.75,656.75,26-Aug-2026
UHTL,ST,138.05,11.38,138.05,125.55,22-Jun-2026
UHTL,ST,138.05,1.99,138.05,0,-
VALIANTLAB,EQ,107.1,1.54,110.7,110.7,26-Aug-2026
VINSYS,ST,598.65,0.04,610,607,25-Aug-2026
VOEPL,EQ,568.95,14.08,593.45,593.45,26-Aug-2026
VTMLTD,EQ,54.01,1.77,54.84,54.84,26-Aug-2026
WELENT,EQ,687.45,4,700,700,26-Aug-2026
WELINV,BE,2340.6,5,2340.6,2340.6,26-Aug-2026
YATHARTH,EQ,966,4.65,972,972,26-Aug-2026
