SYMBOL ,SERIES ,LTP ,%CHANGE ,NEW 52W/H PRICE ,PREV. HIGH ,PREV. HIGH DATE 
PTCIL,EQ,22169,0.27,22795,22215,28-Aug-2026
PVP,EQ,68.48,5,68.48,65.22,28-Aug-2026
QLINE,SM,593.1,8.04,622,600,23-Jun-2026
QMSMEDI,BE,157.4,3.63,157.45,155.5,27-Aug-2026
QPOWER,EQ,1437,0.41,1502.7,1441,28-Apr-2026
QUESS,EQ,381.55,2.5,388.75,376.5,26-Aug-2026
RATNAVEER,EQ,306.61,3.95,314.9,305.25,28-Aug-2026
RPEL,EQ,1765.5,0.98,1810,1798,28-Aug-2026
RSL,EQ,177.96,0.26,181,178,28-Aug-2026
SECMARK,EQ,163.23,7.88,179.5,152.34,28-Aug-2026
SERVICE,SM,71.45,-0.76,73,72.4,28-Aug-2026
SETL,EQ,369.5,1.46,382.4,364.2,28-Aug-2026
SGRL,EQ,608,12.05,651.1,589.75,28-Aug-2026
SHAHALLOYS,EQ,108.75,5.43,116.85,103.15,28-Aug-2026
SHETHJI,SM,186,4.73,187,185,21-May-2026
SHILPAMED,EQ,949.25,5.03,950,919,27-Aug-2026
SHREEPUSHK,EQ,472.1,4.59,491,481.5,27-Aug-2026
SHUKRAPHAR,EQ,44.5,0.5,46.99,46.16,26-Aug-2026
SIMPLXREA,EQ,136.68,0.5,136.68,136.5,19-Aug-2026
SMARTLINK,BE,215.65,-5,233,232.05,14-Aug-2026
SOMANYCERA,EQ,558.2,-1.12,575.1,568.6,28-Aug-2026
SONAMLTD,EQ,78.6,7.42,80,74.6,28-Aug-2026
STEL,EQ,665,4.41,689.95,657.3,16-Jun-2026
STLTECH,BE,726.1,0.32,757.7,728.6,28-Aug-2026
STOVEKRAFT,EQ,847,6.21,859,849.8,06-Aug-2026
SUDEEPPHRM,EQ,1209.7,5,1209.7,1180,20-Aug-2026
SUNLOC,EQ,81,6.68,81,77,28-Aug-2026
SUNSHINE,EQ,456.05,6.12,467.95,441.7,28-Aug-2026
SUPTANERY,BE,14.71,5,14.71,14.01,28-Aug-2026
SURAKSHA,EQ,338.65,-0.46,348.95,343,28-Aug-2026
TAMBOLIIN,BE,255,-1.71,264.62,262.5,18-Aug-2026
TANKUP,ST,1360,-0.37,1429,1365,28-Aug-2026
THELEELA,EQ,572.15,3.04,582.85,576,24-Aug-2026
TIMEX,EQ,678.6,3.8,684,657,28-Aug-2026
TMB,EQ,929.45,4.9,941.85,917,27-Jul-2026
TVSSRICHAK,EQ,5515,4.21,5585,5359.3,26-Aug-2026
UNIPARTS,EQ,892,2.16,899.8,879.8,28-Aug-2026
VINCOFE,EQ,185.61,4.29,189.4,181.66,28-Aug-2026
VISHAL,EQ,19.19,2.62,21.94,19.99,21-Aug-2026
VTMLTD,EQ,56.8,-2.41,61.9,58.9,28-Aug-2026
WELSPUNLIV,EQ,195.68,2.74,197.4,195.35,28-Aug-2026
XTRANET,EQ,194.37,-1.39,206.39,197.11,28-Aug-2026
