Symbol ,Series ,LTP ,%change ,New 52W/L price ,Prev. Low ,Prev. Low Date 
EMAMILTD,EQ,364,-4.06,363.65,376.4,08-Jun-2026
EPACK,EQ,187,-2.58,186,190.98,28-Aug-2026
FASCINATE,ST,88.95,-4.97,88.95,93.6,28-Aug-2026
FCONSUMER,BZ,0.22,-4.35,0.22,0.23,24-Aug-2026
FIRSTCRY,EQ,184,-0.8,184,184.97,28-Aug-2026
FLEXITUFF,BE,2.59,0.39,2.51,2.55,26-Aug-2026
FMCGADD,EQ,46.77,-1.18,46.6,46.84,28-Aug-2026
GAJA,EQ,151.49,-4.52,149.55,156.91,28-Aug-2026
GANGAFORGE,EQ,1.69,4.97,1.53,1.59,27-Jul-2026
GODREJCP,EQ,903.1,-1.3,901.4,906.3,13-Aug-2026
GSEC10ADD,EQ,26.7,-0.71,26.6,26.66,28-Aug-2026
GUJENERGY,EQ,247.7,-2.79,247.35,249.05,27-Aug-2026
HDFCBANK,EQ,709.35,-1.52,704.15,707,28-Aug-2026
HIMATSEIDE,EQ,69.4,-2.68,68.9,69.06,20-Aug-2026
HINDUNILVR,EQ,2007.1,-0.16,1986.2,1997.5,28-Aug-2026
HORIZONIND,EQ,56.01,-3.51,55,55.13,26-Aug-2026
ICELCO,SM,124,-3.13,122,125,27-Aug-2026
ICICIGI,EQ,1550.8,-0.72,1540,1544.6,16-Jul-2026
INDOTHAI,EQ,43.88,-4.98,43.88,46.18,28-Aug-2026
INOXWIND,EQ,69.9,-2.63,69.6,71.27,28-Aug-2026
INSUREIETF,EQ,15.29,-0.39,15.22,15.27,28-Aug-2026
IRCTC,EQ,481.5,-0.85,481,481,25-Aug-2026
IRFC,EQ,83.15,-0.89,82.9,83.65,28-Aug-2026
ISTLTD,EQ,645.9,-4.51,632.6,636.6,19-Aug-2026
ITC,EQ,263.65,-0.88,262.8,264.8,28-Aug-2026
IVZBANKNF,EQ,57.19,-0.28,57.05,57.18,24-Aug-2026
JKLAKSHMI,EQ,530.25,-1.96,530,539,28-Aug-2026
KAMAHOLD,EQ,2370,-0.19,2363,2370,28-Aug-2026
KEC,EQ,417,-2.07,416.15,418,20-Aug-2026
KMCSHIL,EQ,135,-2.21,133.06,134.7,17-Aug-2026
LANDSMILL,EQ,0.69,0,0.68,0.68,27-Aug-2026
LARGEMID50,EQ,36.75,-0.33,36.5,36.7,28-Aug-2026
MAKS,SM,13.3,0,12.65,13.3,28-Aug-2026
MIDBANKADD,EQ,17.3,0.46,17.09,17.21,28-Aug-2026
NAGAFERT,BZ,2.05,-4.65,2.05,2.15,24-Aug-2026
NAMAN,SM,39.9,5,37,38,28-Aug-2026
NEELAM,SM,7,-2.78,7,7.2,27-Aug-2026
NETWORK18,EQ,27.06,-6.04,27.01,27.38,30-Mar-2026
NFPSAMPOOR,SM,21.3,-3.4,20.45,21,28-Aug-2026
NIF500BETA,EQ,37.71,-0.37,37.6,37.75,28-Aug-2026
NTCIND,EQ,134.14,0.5,130,132.5,28-Aug-2026
OPTIMYSTIX,SM,170,-2.61,160,169,25-Aug-2026
OSIAHYPER,BE,2.47,-1.2,2.38,2.4,17-Aug-2026
OSWALGREEN,EQ,20.18,-2.7,19.66,19.76,30-Mar-2026
PGHH,EQ,7971,-1.5,7971,8066,26-Aug-2026
PHOGLOBAL,SM,13.8,-9.21,13.2,13.45,17-Aug-2026
PIIND,EQ,2409.5,-0.44,2386.3,2420.1,28-Aug-2026
PRAMODINI,ST,116.55,1.52,111.55,114,19-Aug-2026
PRAXIS,EQ,4.75,-4.23,4.72,4.94,27-Aug-2026
PRLIND,SM,41.8,-1.88,41.8,42.15,27-Aug-2026
RAJTV,EQ,9.88,-5,9.88,9.93,06-Aug-2026
RALLIS,EQ,206.93,-1.29,205.11,207.53,12-Aug-2026
RAMKY,EQ,351.5,-1.95,348.85,357.2,28-Aug-2026
RAYMONDLSL,EQ,663.6,-4.01,660.1,677,03-Aug-2026
RELINFRA,BE,59.39,-2,59.39,60.04,27-Jul-2026
REPRO,EQ,309.3,0.44,301.6,305,27-Aug-2026
RHETAN,EQ,19.12,-5.86,19.1,20.17,28-Aug-2026
RMC,EQ,240.95,-2.23,239.05,243.65,28-Aug-2026
RPPINFRA,EQ,55.81,3.68,53.5,53.6,28-Aug-2026
RRECL,EQ,130,-3.35,130,130.5,28-Aug-2026
RTNPOWER,EQ,7.49,-5.79,7.39,7.52,30-Mar-2026
RVNL,EQ,209.74,-2.09,209.5,214,28-Aug-2026
SAB,EQ,170,0,165,170,27-Aug-2026
SAIFL,SM,4.85,-3,4.55,4.85,17-Aug-2026
SARTELE,SM,93.7,-3.45,92.4,94,19-Aug-2026
SAWALIYA,SM,153,-9.97,153,169.95,28-Aug-2026
SEKURITIND,EQ,114.25,-1.02,114.1,115,28-Aug-2026
SHILGRAVQ,EQ,154,-9.45,154,157.8,17-Aug-2026
SHRJAGP,EQ,626.05,-6.99,590.05,664.1,25-Aug-2026
SILVER001,EQ,23.6,-3.28,23.2,23.2,28-Aug-2026
SKIL,BZ,0.84,2.44,0.78,0.82,24-Aug-2026
SKYTECH,ST,51.8,-4.95,51.8,54.5,28-Aug-2026
SOLEX,EQ,733.2,-3.48,733,753.05,27-Aug-2026
SONAL,EQ,86.35,-2.92,84.51,85.05,10-Aug-2026
SRTL,EQ,38.89,2.5,37.5,37.6,28-Aug-2026
STARCEMENT,EQ,186,-0.95,180.12,185.3,28-Aug-2026
SUMEETINDS,EQ,12.26,-3.31,12.21,12.24,20-Aug-2026
SUNRAKSHAK,EQ,365.55,-2,365,365,26-Aug-2026
SUNSHIEL,EQ,1149.7,-2.52,1130,1131.3,27-Aug-2026
SUNTV,EQ,466,-1.79,458.6,461,27-Aug-2026
SUPREME,EQ,38,-2.01,37.55,38.5,27-Aug-2026
SWANCORP,EQ,293.45,-1.58,293.3,295.65,27-Aug-2026
SYMPHONY,EQ,586.45,-0.8,585,590,28-Aug-2026
TANAA,EQ,290,-1.04,288.55,290,28-Aug-2026
TCI,EQ,870.1,-2.03,865.55,868.05,18-May-2026
TEJA,SM,233.1,-10,233.1,259,28-Aug-2026
TERAI,EQ,121.6,5.74,103,106.35,25-Aug-2026
TERASOFT,EQ,287.75,-3.37,283,285,18-May-2026
TICL,BE,8.65,-4.84,8.64,8.91,29-Jul-2026
TOUCHWOOD,EQ,59.74,-1.57,59,59,28-Aug-2026
TRANSRAILL,EQ,438.1,-3.24,435.65,450.05,27-Jan-2026
TRANSTEEL,SM,74.95,-8.09,73.4,79,17-Aug-2026
UTIAMC,EQ,871.6,-1.81,871,876,24-Jul-2026
VEDAVAAG,EQ,18.5,0.93,16.98,18,28-Aug-2026
VESUVIUS,EQ,409.5,-2.86,408,418.3,28-Aug-2026
VIJSOLX,EQ,680,-1.45,665.6,675,18-Aug-2026
VOLTAS,EQ,1204.9,0.41,1182.8,1186.8,02-Apr-2026
WAAREEINDO,EQ,270.1,-2.23,269,269.2,28-Aug-2026
YAAP,SM,125,-3.85,123.75,127,05-Mar-2026
