"DATE 
","SYMBOL 
","SECURITY NAME 
","CLIENT NAME 
","BUY/SELL 
","VOLUME 
","TRADE PRICE/ WEIGHTED. AVG. PRICE 
","REMARKS 
"
"28-Aug-2026","AASTHA","Aastha Spintex Limited","CHAUBARA EATS PRIVATE LIMITED","SELL","2,50,000","82.28","-"
"28-Aug-2026","AASTHA","Aastha Spintex Limited","JIAUM BROKING LLP","SELL","2,50,000","82.20","-"
"28-Aug-2026","AASTHA","Aastha Spintex Limited","ACME CAPITAL MARKET LIMITED","SELL","2,50,000","82.20","-"
"28-Aug-2026","ALOKINDS","Alok Industries Limited","JM FINANCIAL ASSET RECONSTRUCTION COMPANY LIMITED","SELL","3,25,00,000","9.55","-"
"28-Aug-2026","ARIS","Arisinfra Solutions Ltd","HRTI PRIVATE LIMITED","SELL","1,47,131","149.66","-"
"28-Aug-2026","ATALREAL","Atal Realtech Limited","ACME CAPITAL MARKET LIMITED","SELL","28,29,964","35.19","-"
"28-Aug-2026","ATALREAL","Atal Realtech Limited","ALTIZEN VENTURES LLP","SELL","9,07,086","35.40","-"
"28-Aug-2026","ATALREAL","Atal Realtech Limited","HRTI PRIVATE LIMITED","SELL","9,28,214","35.24","-"
"28-Aug-2026","ATALREAL","Atal Realtech Limited","QE SECURITIES LLP","SELL","9,31,525","35.38","-"
"28-Aug-2026","ATALREAL","Atal Realtech Limited","VISHAL MAHESH WAGHELA","SELL","11,24,994","35.25","-"
"28-Aug-2026","ATALREAL","Atal Realtech Limited","MAHESH MULCHAND WAGHELA","SELL","16,75,907","35.48","-"
"28-Aug-2026","ATHERENERG","Ather Energy Limited","GOVERNMENT OF SINGAPORE","SELL","1,18,80,000","1,480.00","-"
"28-Aug-2026","BANG","Bang Overseas Limited","ORION STOCKS LTD","SELL","1,91,519","34.16","-"
"28-Aug-2026","BANG","Bang Overseas Limited","IRAGE BROKING SERVICES LLP","SELL","7,829","34.04","-"
"28-Aug-2026","COMSYN","Commercial Syn Bags Ltd","ARIHANT CAPITAL MARKETS LIMITED","SELL","4,45,141","271.95","-"
"28-Aug-2026","DCI","DC Infotech and Comun Ltd","ZETA GLOBAL FUNDS (OEIC) PCC LIMITED - ZETA SERIES C FUND PC","SELL","1,51,100","434.93","-"
"28-Aug-2026","DIGIKORE","Digikore Studios Limited","ROHIT KISHOR RATHI","SELL","1,03,600","31.77","-"
"28-Aug-2026","DIGIKORE","Digikore Studios Limited","SARITA","SELL","16,400","36.48","-"
"28-Aug-2026","DURLAX","Durlax Top Surface Ltd","KETAN RASHIKLAL DOSHI","SELL","1,50,000","66.00","-"
"28-Aug-2026","EXXARO","Exxaro Tiles Limited","BHAVISHYA ECOMMERCE PRIVATE LIMITED","SELL","22,97,778","7.42","-"
"28-Aug-2026","FASCINATE","Fascinate Textiles Ltd","NEO APEX SHARE BROKING SERVICES LLP","SELL","1,18,400","93.61","-"
"28-Aug-2026","FMGOETZE","Federal-Mogul Goetze (I)","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","10,50,686","596.53","-"
"28-Aug-2026","FMGOETZE","Federal-Mogul Goetze (I)","HRTI PRIVATE LIMITED","SELL","4,88,627","594.12","-"
"28-Aug-2026","FMGOETZE","Federal-Mogul Goetze (I)","MANISH MAHENDRA MODI","SELL","2,83,294","593.37","-"
"28-Aug-2026","FMGOETZE","Federal-Mogul Goetze (I)","ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED","SELL","3,70,262","602.38","-"
"28-Aug-2026","FMGOETZE","Federal-Mogul Goetze (I)","QE SECURITIES LLP","SELL","5,32,024","590.66","-"
"28-Aug-2026","FMGOETZE","Federal-Mogul Goetze (I)","MICROCURVES TRADING PRIVATE LIMITED","SELL","9,83,131","597.73","-"
"28-Aug-2026","GANGAFORGE","Ganga Forging Limited","NEO APEX SHARE BROKING SERVICES LLP","SELL","26,20,038","1.61","-"
"28-Aug-2026","GATECH","GACM Technologies Limited","MGO HIGH CONVICTION FUND INCORPORATED VCC SUB-FUND","SELL","2,44,51,043","1.07","-"
"28-Aug-2026","GATECH","GACM Technologies Limited","MINERVA VENTURES FUND","SELL","2,70,00,000","1.07","-"
"28-Aug-2026","GATECH","GACM Technologies Limited","AL MAHA INVESTMENT FUND PCC - ONYX STRATEGY","SELL","2,25,00,000","1.07","-"
"28-Aug-2026","GENUSPOWER","Genus Power Infrastru Ltd","CHISWICK INVESTMENT PTE LTD","SELL","35,78,450","324.50","-"
"28-Aug-2026","JAYESH","Jayesh Logistics Limited","QAPLA INVESTMENTS","SELL","49,000","142.00","-"
"28-Aug-2026","JGCHEM","J.G.Chemicals Limited","HRTI PRIVATE LIMITED","SELL","2,59,350","653.48","-"
"28-Aug-2026","JGCHEM","J.G.Chemicals Limited","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","3,14,039","656.86","-"
"28-Aug-2026","KSR","KSR Footwear Limited","AMBIT INVESTMENT ADVISORS PRIVATE LIMITED","SELL","1,82,052","31.43","-"
"28-Aug-2026","LAMOSAIC","Lamosaic India Limited","ALTIZEN VENTURES LLP","SELL","98,400","58.90","-"
"28-Aug-2026","LENSKART","Lenskart Solutions Ltd","ALPHA WAVE VENTURES II LP","SELL","98,38,209","630.00","-"
"28-Aug-2026","LENSKART","Lenskart Solutions Ltd","ALPHA WAVE VENTURES II LP","SELL","1,04,19,555","630.00","-"
"28-Aug-2026","MASTEK","Mastek Ltd","MICROCURVES TRADING PRIVATE LIMITED","SELL","2,64,122","1,841.57","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","MARWADI SHARES AND FINANCE LTD.","SELL","1,83,119","698.24","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","DIPAN MEHTA COMMODITIES PRIVATE LIMITED","SELL","1,92,718","728.38","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","ELIXIR EQUITIES PRIVATE LTD","SELL","2,08,540","730.63","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED","SELL","5,04,426","729.99","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","VINSUL MAKARDI LTD","SELL","2,03,324","721.45","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","J4S FINANCIAL SOLUTIONS LLP","SELL","1,50,822","732.62","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","CLT RESEARCH TECH PRIVATE LTD","SELL","3,56,060","719.46","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","PRATIK VIRENDRA MANIYAR HUF","SELL","2,77,359","733.59","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","MATHEWS VARUGHESE","SELL","1,39,604","725.98","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","7,98,842","728.06","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","IRAGE BROKING SERVICES LLP","SELL","4,19,776","719.99","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","QE SECURITIES LLP","SELL","9,62,574","711.99","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","MATHISYS QUANTCAP LLP","SELL","6,80,900","719.30","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","HRTI PRIVATE LIMITED","SELL","5,14,130","714.14","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","RAVI RAJAGOPALAN RAMA","SELL","1,87,800","727.94","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","SELL","4,72,242","722.83","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","10,35,909","718.01","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","MICROCURVES TRADING PRIVATE LIMITED","SELL","20,19,049","725.16","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","BLITZQUANT RESEARCH LLP","SELL","4,92,138","719.42","-"
"28-Aug-2026","OMAXE","Omaxe Limited","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","10,86,607","127.24","-"
"28-Aug-2026","OMAXE","Omaxe Limited","MICROCURVES TRADING PRIVATE LIMITED","SELL","17,94,017","129.89","-"
"28-Aug-2026","RATNAVEER","Ratnaveer Precision Eng L","ARIHANT CAPITAL MARKETS LIMITED","SELL","11,72,661","297.30","-"
"28-Aug-2026","RATNAVEER","Ratnaveer Precision Eng L","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","3,68,438","297.82","-"
"28-Aug-2026","RATNAVEER","Ratnaveer Precision Eng L","HRTI PRIVATE LIMITED","SELL","6,25,190","297.55","-"
"28-Aug-2026","RULKA","Rulka Electricals Limited","GRATIAS VENTURES PRIVATE LIMITED","SELL","21,600","111.33","-"
"28-Aug-2026","SPAL","S. P. Apparels Limited","SUNDARARAJAN PERUMAL MUDALIAR","SELL","5,00,000","925.00","-"
"28-Aug-2026","SPRL","SP Refractories Limited","VANITA SANJAY BANSAL","SELL","32,000","102.50","-"
"28-Aug-2026","STAR","Strides Pharma ScienceLtd","SBI LIFE INSURANCE CO.LTD.","SELL","10,00,000","990.00","-"
"28-Aug-2026","SUN-RE","Sunrest Life Ltd","MAHESH PRAKASH MHAPANKAR","SELL","25,600","1.00","-"
"28-Aug-2026","SUNSHINE","Sunshine Pictures Limited","MICROCURVES TRADING PRIVATE LIMITED","SELL","4,37,928","420.03","-"
"28-Aug-2026","SUNSHINE","Sunshine Pictures Limited","ARIHANT CAPITAL MARKETS LIMITED","SELL","16,17,627","419.99","-"
"28-Aug-2026","SUNSHINE","Sunshine Pictures Limited","QE SECURITIES LLP","SELL","4,43,835","415.87","-"
"28-Aug-2026","SUNSHINE","Sunshine Pictures Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","2,44,406","422.69","-"
"28-Aug-2026","SUNSHINE","Sunshine Pictures Limited","IRAGE BROKING SERVICES LLP","SELL","1,13,851","419.71","-"
"28-Aug-2026","SUNSHINE","Sunshine Pictures Limited","MATHISYS QUANTCAP LLP","SELL","3,38,278","419.30","-"
"28-Aug-2026","SUNSHINE","Sunshine Pictures Limited","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","2,57,334","421.01","-"
"28-Aug-2026","TEJASNET","Tejas Networks Limited","QE SECURITIES LLP","SELL","14,78,799","561.32","-"
"28-Aug-2026","TEJASNET","Tejas Networks Limited","HRTI PRIVATE LIMITED","SELL","9,55,867","559.74","-"
"28-Aug-2026","TEJASNET","Tejas Networks Limited","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","SELL","17,85,079","560.78","-"
"28-Aug-2026","TEJASNET","Tejas Networks Limited","GRAVITON RESEARCH CAPITAL LLP","SELL","9,06,031","559.72","-"
"28-Aug-2026","TEJASNET","Tejas Networks Limited","MICROCURVES TRADING PRIVATE LIMITED","SELL","23,97,531","560.70","-"
"28-Aug-2026","TEJASNET","Tejas Networks Limited","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","15,29,315","560.62","-"
"28-Aug-2026","TEMPSENS","Tempsens Inst (India) Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","13,97,338","588.79","-"
"28-Aug-2026","TEMPSENS","Tempsens Inst (India) Ltd","GOLDMINE STOCKS PRIVATE LIMITED","SELL","5,79,852","593.12","-"
"28-Aug-2026","TEMPSENS","Tempsens Inst (India) Ltd","YUGA STOCKS AND COMMODITIES PRIVATE LIMITED","SELL","10,33,072","589.42","-"
"28-Aug-2026","TEMPSENS","Tempsens Inst (India) Ltd","MARWADI CHANDARANA INTERMEDIARIES BROKERS PRIVATE LIMITED","SELL","6,73,241","588.75","-"
"28-Aug-2026","TEMPSENS","Tempsens Inst (India) Ltd","IRAGE BROKING SERVICES LLP","SELL","17,06,366","594.62","-"
"28-Aug-2026","TEMPSENS","Tempsens Inst (India) Ltd","GRT STRATEGIC VENTURES LLP","SELL","15,05,110","599.97","-"
"28-Aug-2026","TEMPSENS","Tempsens Inst (India) Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","11,51,516","581.80","-"
"28-Aug-2026","TEMPSENS","Tempsens Inst (India) Ltd","PURE BROKING PRIVATE LIMITED","SELL","7,51,896","588.92","-"
"28-Aug-2026","TEMPSENS","Tempsens Inst (India) Ltd","PATRONUS TRADETECH LLP","SELL","8,87,751","598.30","-"
"28-Aug-2026","TEMPSENS","Tempsens Inst (India) Ltd","BLITZQUANT RESEARCH LLP","SELL","13,09,464","604.43","-"
"28-Aug-2026","TEMPSENS","Tempsens Inst (India) Ltd","MICROCURVES TRADING PRIVATE LIMITED","SELL","15,44,877","581.10","-"
"28-Aug-2026","WEL","Wonder Electricals Ltd","NEO APEX SHARE BROKING SERVICES LLP","SELL","10,03,343","99.80","-"
"28-Aug-2026","XTRANET","Xtranet Technologies Ltd","NEO APEX SHARE BROKING SERVICES LLP","SELL","3,30,016","197.11","-"
"28-Aug-2026","XTRANET","Xtranet Technologies Ltd","TIGER STRATEGIES FUND -I","SELL","2,74,240","182.02","-"
"28-Aug-2026","AAREYDRUGS","Aarey Drugs & Pharm Ltd","VAYUMIND INNOVATIONS PRIVATE LIMITED","BUY","2,74,415","88.97","-"
"28-Aug-2026","AASTHA","Aastha Spintex Limited","ACME CAPITAL MARKET LIMITED","BUY","2,50,000","82.28","-"
"28-Aug-2026","AASTHA","Aastha Spintex Limited","BULLPULSE MARKETEDGE PRIVATE LIMITED","BUY","2,50,000","82.20","-"
"28-Aug-2026","AASTHA","Aastha Spintex Limited","JIAUM BROKING LLP","BUY","2,50,000","82.20","-"
"28-Aug-2026","AASTHA","Aastha Spintex Limited","CHAUBARA EATS PRIVATE LIMITED","BUY","2,50,000","82.21","-"
"28-Aug-2026","ARIS","Arisinfra Solutions Ltd","HRTI PRIVATE LIMITED","BUY","4,80,513","150.75","-"
"28-Aug-2026","ATALREAL","Atal Realtech Limited","QE SECURITIES LLP","BUY","9,77,627","35.36","-"
"28-Aug-2026","ATALREAL","Atal Realtech Limited","VISHAL MAHESH WAGHELA","BUY","11,24,994","35.59","-"
"28-Aug-2026","ATALREAL","Atal Realtech Limited","MAHESH MULCHAND WAGHELA","BUY","10,89,657","35.38","-"
"28-Aug-2026","ATALREAL","Atal Realtech Limited","ALTIZEN VENTURES LLP","BUY","11,07,086","35.38","-"
"28-Aug-2026","ATALREAL","Atal Realtech Limited","MAHESH MULCHAND WAGHELA","BUY","7,85,019","35.39","-"
"28-Aug-2026","ATALREAL","Atal Realtech Limited","ACME CAPITAL MARKET LIMITED","BUY","28,29,964","35.28","-"
"28-Aug-2026","ATALREAL","Atal Realtech Limited","HRTI PRIVATE LIMITED","BUY","9,72,181","35.28","-"
"28-Aug-2026","ATHERENERG","Ather Energy Limited","HERO MOTOCORP LIMITED","BUY","1,18,80,000","1,480.00","-"
"28-Aug-2026","BANG","Bang Overseas Limited","IRAGE BROKING SERVICES LLP","BUY","1,41,548","34.10","-"
"28-Aug-2026","BANG","Bang Overseas Limited","ORION STOCKS LTD","BUY","3,698","34.58","-"
"28-Aug-2026","COMSYN","Commercial Syn Bags Ltd","ARIHANT CAPITAL MARKETS LIMITED","BUY","2,38,353","275.31","-"
"28-Aug-2026","DIGIKORE","Digikore Studios Limited","SARITA","BUY","96,800","35.48","-"
"28-Aug-2026","EXXARO","Exxaro Tiles Limited","BHAVISHYA ECOMMERCE PRIVATE LIMITED","BUY","17,25,287","7.41","-"
"28-Aug-2026","FASCINATE","Fascinate Textiles Ltd","PROGNOSIS SECURITIES PVT. LTD","BUY","1,82,400","93.60","-"
"28-Aug-2026","FMGOETZE","Federal-Mogul Goetze (I)","MICROCURVES TRADING PRIVATE LIMITED","BUY","9,83,131","597.39","-"
"28-Aug-2026","FMGOETZE","Federal-Mogul Goetze (I)","HRTI PRIVATE LIMITED","BUY","5,72,489","594.72","-"
"28-Aug-2026","FMGOETZE","Federal-Mogul Goetze (I)","QE SECURITIES LLP","BUY","5,44,062","592.04","-"
"28-Aug-2026","FMGOETZE","Federal-Mogul Goetze (I)","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","10,51,178","596.24","-"
"28-Aug-2026","FMGOETZE","Federal-Mogul Goetze (I)","ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED","BUY","3,70,262","601.36","-"
"28-Aug-2026","GENUSPOWER","Genus Power Infrastru Ltd","HSBC MUTUAL FUND","BUY","21,91,700","324.50","-"
"28-Aug-2026","JAYESH","Jayesh Logistics Limited","IBHANAN COMPLEX LLP","BUY","51,000","141.92","-"
"28-Aug-2026","JAYESH","Jayesh Logistics Limited","IDIKA COMPLEX LLP","BUY","52,000","141.95","-"
"28-Aug-2026","JGCHEM","J.G.Chemicals Limited","HRTI PRIVATE LIMITED","BUY","2,92,430","652.79","-"
"28-Aug-2026","JGCHEM","J.G.Chemicals Limited","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","3,15,935","656.40","-"
"28-Aug-2026","KSHITIJ-RE","Kshitij Polyline Ltd","SUBHASH CHANDRA","BUY","9,97,226","0.03","-"
"28-Aug-2026","KSR","KSR Footwear Limited","ALPA WEALTH CREATOR","BUY","2,45,090","31.28","-"
"28-Aug-2026","LAMOSAIC","Lamosaic India Limited","ARYAMAN CAPITAL MARKETS LIMITED","BUY","99,600","58.90","-"
"28-Aug-2026","MANCREDIT","Mangal Credit N Fincorp L","LUNOVA VENTURES LLP","BUY","1,25,700","239.76","-"
"28-Aug-2026","MASTEK","Mastek Ltd","MICROCURVES TRADING PRIVATE LIMITED","BUY","2,64,122","1,839.78","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","10,34,178","717.33","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","MICROCURVES TRADING PRIVATE LIMITED","BUY","20,19,049","724.70","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","BLITZQUANT RESEARCH LLP","BUY","4,92,138","719.10","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","MARWADI SHARES AND FINANCE LTD.","BUY","1,72,604","701.89","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","DIPAN MEHTA COMMODITIES PRIVATE LIMITED","BUY","1,92,718","724.81","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","ELIXIR EQUITIES PRIVATE LTD","BUY","2,06,540","729.05","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED","BUY","5,02,608","728.91","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","VINSUL MAKARDI LTD","BUY","2,03,324","721.06","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","J4S FINANCIAL SOLUTIONS LLP","BUY","1,50,822","732.62","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","CLT RESEARCH TECH PRIVATE LTD","BUY","3,56,060","719.20","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","PRATIK VIRENDRA MANIYAR HUF","BUY","2,77,359","733.08","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","MATHEWS VARUGHESE","BUY","1,39,604","727.43","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","7,98,842","727.78","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","IRAGE BROKING SERVICES LLP","BUY","6,09,694","727.44","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","QE SECURITIES LLP","BUY","9,40,883","716.88","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","MATHISYS QUANTCAP LLP","BUY","6,83,694","718.29","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","HRTI PRIVATE LIMITED","BUY","4,99,926","722.04","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","RAVI RAJAGOPALAN RAMA","BUY","1,53,000","724.53","-"
"28-Aug-2026","MVELECTRO","MV Electrosystems Limited","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","BUY","4,72,242","727.13","-"
"28-Aug-2026","OMAXE","Omaxe Limited","MICROCURVES TRADING PRIVATE LIMITED","BUY","17,94,017","129.84","-"
"28-Aug-2026","OMAXE","Omaxe Limited","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","10,84,016","127.23","-"
"28-Aug-2026","RATNAVEER","Ratnaveer Precision Eng L","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","3,78,209","297.62","-"
"28-Aug-2026","RATNAVEER","Ratnaveer Precision Eng L","ARIHANT CAPITAL MARKETS LIMITED","BUY","11,58,547","297.77","-"
"28-Aug-2026","RATNAVEER","Ratnaveer Precision Eng L","THAKKAR NILESHKUMAR FARSHURAM HUF","BUY","6,65,000","296.54","-"
"28-Aug-2026","RATNAVEER","Ratnaveer Precision Eng L","HRTI PRIVATE LIMITED","BUY","4,96,314","296.87","-"
"28-Aug-2026","RELIGARE","Religare Enterprises Limi","ASHISH  DHAWAN","BUY","18,00,000","232.00","-"
"28-Aug-2026","RULKA","Rulka Electricals Limited","GRATIAS VENTURES PRIVATE LIMITED","BUY","10,200","111.68","-"
"28-Aug-2026","SHAHALLOYS","Shah Alloys Limited","MANSI SHARE AND STOCK BROKING PRIVATE LIMITED","BUY","3,00,000","103.07","-"
"28-Aug-2026","SHAHALLOYS","Shah Alloys Limited","SETU SECURITIES PVT LTD","BUY","1,00,000","103.06","-"
"28-Aug-2026","SPAL","S. P. Apparels Limited","CARNELIAN ASSET MANAGEMENT & ADVISORS PRIVATE LIMITED","BUY","5,00,000","925.00","-"
"28-Aug-2026","SPRL","SP Refractories Limited","ARYAMAN CAPITAL MARKETS LIMITED","BUY","32,000","102.50","-"
"28-Aug-2026","STAR","Strides Pharma ScienceLtd","ARUN KUMAR PILLAI","BUY","10,00,000","990.00","-"
"28-Aug-2026","SUNSHINE","Sunshine Pictures Limited","ARIHANT CAPITAL MARKETS LIMITED","BUY","16,79,598","418.10","-"
"28-Aug-2026","SUNSHINE","Sunshine Pictures Limited","L7 HITECH PRIVATE LIMITED","BUY","1,65,000","386.52","-"
"28-Aug-2026","SUNSHINE","Sunshine Pictures Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","2,44,406","422.32","-"
"28-Aug-2026","SUNSHINE","Sunshine Pictures Limited","IRAGE BROKING SERVICES LLP","BUY","1,58,829","419.10","-"
"28-Aug-2026","SUNSHINE","Sunshine Pictures Limited","MATHISYS QUANTCAP LLP","BUY","3,36,542","415.04","-"
"28-Aug-2026","SUNSHINE","Sunshine Pictures Limited","QE SECURITIES LLP","BUY","3,76,926","413.95","-"
"28-Aug-2026","SUNSHINE","Sunshine Pictures Limited","MICROCURVES TRADING PRIVATE LIMITED","BUY","4,37,928","419.78","-"
"28-Aug-2026","SUNSHINE","Sunshine Pictures Limited","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","2,72,695","420.30","-"
"28-Aug-2026","TEJASNET","Tejas Networks Limited","MICROCURVES TRADING PRIVATE LIMITED","BUY","23,97,531","560.41","-"
"28-Aug-2026","TEJASNET","Tejas Networks Limited","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","15,32,204","560.33","-"
"28-Aug-2026","TEJASNET","Tejas Networks Limited","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","BUY","17,85,079","561.03","-"
"28-Aug-2026","TEJASNET","Tejas Networks Limited","HRTI PRIVATE LIMITED","BUY","10,30,032","558.62","-"
"28-Aug-2026","TEJASNET","Tejas Networks Limited","QE SECURITIES LLP","BUY","15,14,937","559.98","-"
"28-Aug-2026","TEJASNET","Tejas Networks Limited","GRAVITON RESEARCH CAPITAL LLP","BUY","9,06,031","560.07","-"
