SYMBOL ,SERIES ,LTP ,%CHANGE ,NEW 52W/H PRICE ,PREV. HIGH ,PREV. HIGH DATE 
SUDEEPPHRM,EQ,1182.3,2.62,1192.95,1180,20-Aug-2026
SUNLOC,EQ,80,5.36,81,77,28-Aug-2026
SUNSHINE,EQ,453.85,5.61,457,441.7,28-Aug-2026
SUPTANERY,BE,14.71,5,14.71,14.01,28-Aug-2026
SURAKSHA,EQ,342.5,0.68,348.95,343,28-Aug-2026
TAMBOLIIN,BE,251.35,-3.11,264.62,262.5,18-Aug-2026
TANKUP,ST,1320,-3.3,1380,1365,28-Aug-2026
TIMEX,EQ,654.55,0.12,665.4,657,28-Aug-2026
TVSSRICHAK,EQ,5389.2,1.83,5463.9,5359.3,26-Aug-2026
UNIPARTS,EQ,863.45,-1.11,881,879.8,28-Aug-2026
VINCOFE,EQ,186.61,4.85,189.4,181.66,28-Aug-2026
VISHAL,EQ,19.4,3.74,21.94,19.99,21-Aug-2026
VTMLTD,EQ,58.93,1.25,61.9,58.9,28-Aug-2026
XTRANET,EQ,197.35,0.12,206.39,197.11,28-Aug-2026
