SYMBOL ,SERIES ,LTP ,%CHANGE ,NEW 52W/H PRICE ,PREV. HIGH ,PREV. HIGH DATE 
MOREPENLAB,EQ,107.09,0.85,110.38,106.37,28-Aug-2026
MSTCLTD,EQ,755.4,3.53,763,753.5,26-Aug-2026
NEAGI,EQ,3411,-1.13,3600,3500,26-Aug-2026
OFSS,EQ,12134,-0.46,12325,12275,28-Aug-2026
PARNAXLAB,EQ,135.67,5.66,138,130,28-Aug-2026
PCCL,SM,417,6.4,417,393,28-Aug-2026
PHARMABEES,EQ,27.65,-0.4,28.32,28.01,06-Aug-2026
PIRAMALFIN,EQ,2280,0.07,2324,2299.9,28-Aug-2026
PRECWIRE,EQ,505.05,-0.45,524.9,507.35,28-Aug-2026
PTCIL,EQ,22211,0.46,22795,22215,28-Aug-2026
PVP,EQ,68.48,5,68.48,65.22,28-Aug-2026
QLINE,SM,596.55,8.67,622,600,23-Jun-2026
QMSMEDI,BE,157,3.36,157.45,155.5,27-Aug-2026
QPOWER,EQ,1449,1.24,1502.7,1441,28-Apr-2026
QUESS,EQ,379.75,2.01,388.75,376.5,26-Aug-2026
RATNAVEER,EQ,308.55,4.61,314.9,305.25,28-Aug-2026
RPEL,EQ,1770.5,1.26,1810,1798,28-Aug-2026
RSL,EQ,177.99,0.28,181,178,28-Aug-2026
SECMARK,EQ,159.49,5.41,179.5,152.34,28-Aug-2026
SERVICE,SM,68.4,-5,73,72.4,28-Aug-2026
SETL,EQ,370.7,1.78,382.4,364.2,28-Aug-2026
SGRL,EQ,613.8,13.12,651.1,589.75,28-Aug-2026
SHAHALLOYS,EQ,108.51,5.2,116.85,103.15,28-Aug-2026
SHETHJI,SM,185.8,4.62,187,185,21-May-2026
SHILPAMED,EQ,946.25,4.7,950,919,27-Aug-2026
SHREEPUSHK,EQ,473,4.79,491,481.5,27-Aug-2026
SHUKRAPHAR,EQ,44.5,0.5,46.99,46.16,26-Aug-2026
SIMPLXREA,EQ,136.68,0.5,136.68,136.5,19-Aug-2026
SMARTLINK,BE,215.66,-5,233,232.05,14-Aug-2026
SOMANYCERA,EQ,567,0.44,575.1,568.6,28-Aug-2026
SONAMLTD,EQ,78.8,7.69,80,74.6,28-Aug-2026
STEL,EQ,660,3.63,689.95,657.3,16-Jun-2026
STLTECH,BE,726.95,0.44,757.7,728.6,28-Aug-2026
STOVEKRAFT,EQ,852.1,6.85,859,849.8,06-Aug-2026
SUDEEPPHRM,EQ,1209.7,5,1209.7,1180,20-Aug-2026
SUNLOC,EQ,81,6.68,81,77,28-Aug-2026
SUNSHINE,EQ,447.4,4.11,467.95,441.7,28-Aug-2026
SUPTANERY,BE,14.71,5,14.71,14.01,28-Aug-2026
SURAKSHA,EQ,338.7,-0.44,348.95,343,28-Aug-2026
TAMBOLIIN,BE,255,-1.71,264.62,262.5,18-Aug-2026
TANKUP,ST,1360,-0.37,1429,1365,28-Aug-2026
THELEELA,EQ,572.3,3.07,582.85,576,24-Aug-2026
TIMEX,EQ,668.8,2.3,669.75,657,28-Aug-2026
TMB,EQ,937.95,5.86,938,917,27-Jul-2026
TVSSRICHAK,EQ,5476,3.47,5585,5359.3,26-Aug-2026
UNIPARTS,EQ,892.9,2.26,895,879.8,28-Aug-2026
VINCOFE,EQ,185.9,4.46,189.4,181.66,28-Aug-2026
VISHAL,EQ,19.38,3.64,21.94,19.99,21-Aug-2026
VTMLTD,EQ,57.28,-1.58,61.9,58.9,28-Aug-2026
WELSPUNLIV,EQ,194.38,2.06,195.6,195.35,28-Aug-2026
XTRANET,EQ,196.16,-0.48,206.39,197.11,28-Aug-2026
